Sr No,Symbol,Company Name,"Market capitalization as on December 30, 2022
(Rs in Lakhs)"
126,NHPC,NHPC Limited,3992901
127,SOLARINDS,Solar Industries India Limited,3967582
128,ASTRAL,Astral Limited,3956447
129,TATAELXSI,Tata Elxsi Limited,3914635
130,LTTS,L&T Technology Services Limited,3889663
131,POLYCAB,Polycab India Limited,3846115
132,CUMMINSIND,Cummins India Limited,3826469
133,BANDHANBNK,Bandhan Bank Limited,3772554
134,UCOBANK,UCO Bank,3766127
135,MRF,MRF Limited,3754915
136,PFC,Power Finance Corporation Limited,3726475
137,SHRIRAMFIN,Shriram Finance Limited,3724786
138,MPHASIS,MphasiS Limited,3715241
139,HONAUT,Honeywell Automation India Limited,3687088
140,IDFCFIRSTB,IDFC First Bank Limited,3665510
141,TATACOMM,Tata Communications Limited,3632183
142,ABCAPITAL,Aditya Birla Capital Limited,3630131
143,BANKINDIA,Bank of India,3621397
144,NMDC,NMDC Limited,3606110
145,ALKEM,Alkem Laboratories Limited,3592570
146,INDIANB,Indian Bank,3553866
147,DALBHARAT,Dalmia Bharat Limited,3492374
148,PAYTM,One 97 Communications Limited,3447966
149,FLUOROCHEM,Gujarat Fluorochemicals Limited,3417214
150,SAIL,Steel Authority of India Limited,3413879
151,GODREJPROP,Godrej Properties Limited,3404923
152,JUBLFOOD,Jubilant Foodworks Limited,3372139
153,GUJGASLTD,Gujarat Gas Limited,3346609
154,LUPIN,Lupin Limited,3336579
155,HINDPETRO,Hindustan Petroleum Corporation Limited,3335716
156,STARHEALTH,Star Health and Allied Insurance Company Limited,3292697
157,MANYAVAR,Vedant Fashions Limited,3248302
158,PETRONET,Petronet LNG Limited,3231750
159,OBEROIRLTY,Oberoi Realty Limited,3155886
160,BIOCON,Biocon Limited,3143771
161,GICRE,General Insurance Corporation of India,3135990
162,SUPREMEIND,Supreme Industries Limited,3112222
163,RECLTD,REC Limited,3067706
164,APLAPOLLO,APL Apollo Tubes Limited,3028452
165,UNOMINDA,UNO Minda Limited,2985641
166,PERSISTENT,Persistent Systems Limited,2958335
167,FEDERALBNK,The Federal Bank  Limited,2941157
168,LINDEINDIA,Linde India Limited,2929300
169,M&MFIN,Mahindra & Mahindra Financial Services Limited,2898553
170,IGL,Indraprastha Gas Limited,2897653
171,ESCORTS,Escorts Kubota Limited,2823727
172,CENTRALBK,Central Bank of India,2790922
173,BHEL,Bharat Heavy Electricals Limited,2757794
174,ABFRL,Aditya Birla Fashion and Retail Limited,2727488
175,DEEPAKNTR,Deepak Nitrite Limited,2707811
176,VOLTAS,Voltas Limited,2646582
177,OFSS,Oracle Financial Services Software Limited,2611666
178,COROMANDEL,Coromandel International Limited,2608307
179,GLAND,Gland Pharma Limited,2596424
180,MSUMI,Motherson Sumi Wiring India Limited,2577506
181,AUROPHARMA,Aurobindo Pharma Limited,2568169
182,SUNDARMFIN,Sundaram Finance Limited,2561055
183,PHOENIXLTD,The Phoenix Mills Limited,2540360
184,IDEA,Vodafone Idea Limited,2537389
185,3MINDIA,3M India Limited,2471906
186,SONACOMS,Sona BLW Precision Forgings Limited,2453883
187,ATUL,Atul Limited,2437246
188,SUMICHEM,Sumitomo Chemical India Limited,2436829
189,AIAENG,AIA Engineering Limited,2419270
190,FACT,Fertilizers and Chemicals Travancore Limited,2415843
191,DELHIVERY,Delhivery Limited,2413421
192,METROBRAND,Metro Brands Limited,2400500
193,GMRINFRA,GMR Airports Infrastructure Limited,2399288
194,TATACHEM,Tata Chemicals Limited,2387448
195,COFORGE,Coforge Limited,2371751
196,KANSAINER,Kansai Nerolac Paints Limited,2367205
197,TORNTPOWER,Torrent Power Limited,2366317
198,POONAWALLA,Poonawalla Fincorp Limited,2358862
199,SYNGENE,Syngene International Limited,2350600
200,THERMAX,Thermax Limited,2345234
201,MFSL,Max Financial Services Limited,2338153
202,TIMKEN,Timken India Limited,2334677
203,DIXON,Dixon Technologies (India) Limited,2325586
204,ZEEL,Zee Entertainment Enterprises Limited,2305727
205,PSB,Punjab & Sind Bank,2287503
206,LICHSGFIN,LIC Housing Finance Limited,2278086
207,RELAXO,Relaxo Footwears Limited,2265351
208,OIL,Oil India Limited,2257732
209,JKCEMENT,JK Cement Limited,2256697
210,CRISIL,CRISIL Limited,2241093
211,GLAXO,GlaxoSmithKline Pharmaceuticals Limited,2234042
212,SKFINDIA,SKF India Limited,2224263
213,AARTIIND,Aarti Industries Limited,2211637
214,DEVYANI,Devyani International Limited,2177561
215,L&TFH,L&T Finance Holdings Limited,2162104
216,RAJESHEXPO,Rajesh Exports Limited,2160417
217,FORTIS,Fortis Healthcare Limited,2159935
218,CROMPTON,Crompton Greaves Consumer Electricals Limited,2139437
219,IPCALAB,IPCA Laboratories Limited,2138980
220,BATAINDIA,Bata India Limited,2119612
221,NIACL,The New India Assurance Company Limited,2072360
222,APOLLOTYRE,Apollo Tyres Limited,2059632
223,MAHABANK,Bank of Maharashtra,2059532
224,VINATIORGA,Vinati Organics Limited,2050399
225,SUNDRMFAST,Sundram Fasteners Limited,2041817
226,PFIZER,Pfizer Limited,2027402
227,HATSUN,Hatsun Agro Product Limited,2026457
228,POLICYBZR,PB Fintech Limited,2017872
229,LAURUSLABS,Laurus Labs Limited,2016441
230,NAVINFLUOR,Navin Fluorine International Limited,2015856
231,PEL,Piramal Enterprises Limited,1977090
232,GRINDWELL,Grindwell Norton Limited,1974857
233,ENDURANCE,Endurance Technologies Limited,1940022
234,KPITTECH,KPIT Technologies Limited,1930658
235,SUNTV,Sun TV Network Limited,1917813
236,WHIRLPOOL,Whirlpool of India Limited,1899398
237,LALPATHLAB,Dr. Lal Path Labs Ltd.,1884128
238,EMAMILTD,Emami Limited,1875108
239,PRESTIGE,Prestige Estates Projects Limited,1858194
240,KAJARIACER,Kajaria Ceramics Limited,1847416
241,BLUEDART,Blue Dart Express Limited,1828486
242,IIFL,IIFL Finance Limited,1828302
243,TTML,Tata Teleservices (Maharashtra) Limited,1813195
244,FIVESTAR,Five-Star Business Finance Limited,1791028
245,KPRMILL,K.P.R. Mill Limited,1766324
246,FINEORG,Fine Organic Industries Limited,1760159
247,IRB,IRB Infrastructure Developers Limited,1756443
248,TRIDENT,Trident Limited,1745365
249,BDL,Bharat Dynamics Limited,1730358
250,ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,1699619
251,CARBORUNIV,Carborundum Universal Limited,1661846
252,RAMCOCEM,The Ramco Cements Limited,1654637
253,GILLETTE,Gillette India Limited,1640079
254,ISEC,ICICI Securities Limited,1605588
255,MAZDOCK,Mazagon Dock Shipbuilders Limited,1599704
256,CLEAN,Clean Science and Technology Limited,1582992
257,IIFLWAM,Iifl Wealth Management Limited,1579626
258,NH,Narayana Hrudayalaya Ltd.,1554062
259,AJANTPHARM,Ajanta Pharma Limited,1552813
260,NAM-INDIA,Nippon Life India Asset Management Limited,1552447
261,EXIDEIND,Exide Industries Limited,1532125
262,APTUS,Aptus Value Housing Finance India Limited,1512902
263,JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,1504152
264,GSPL,Gujarat State Petronet Limited,1487825
265,NATIONALUM,National Aluminium Company Limited,1476652
266,AAVAS,Aavas Financiers Limited,1458948
267,GODREJIND,Godrej Industries Limited,1447208
268,AFFLE,Affle (India) Limited,1442776
269,CREDITACC,CREDITACCESS GRAMEEN LIMITED,1429431
270,RVNL,Rail Vikas Nigam Limited,1423026
271,POWERINDIA,Hitachi Energy India Limited,1418663
272,REDINGTON,Redington Limited,1412907
273,DCMSHRIRAM,DCM Shriram Limited,1401765
274,BAJAJELEC,Bajaj Electricals Limited,1396433
275,KIOCL,KIOCL Limited,1386888
276,RATNAMANI,Ratnamani Metals & Tubes Limited,1371035
277,PPLPHARMA,Piramal Pharma Limited,1368140
278,ALKYLAMINE,Alkyl Amines Chemicals Limited,1360177
279,RADICO,Radico Khaitan Limited,1353313
280,RHIM,RHI MAGNESITA INDIA LIMITED,1351725
281,SANOFI,Sanofi India Limited,1347994
282,SJVN,SJVN Limited,1345955
283,CUB,City Union Bank Limited,1335165
284,ELGIEQUIP,Elgi Equipments Limited,1329433
285,INDIAMART,Indiamart Intermesh Limited,1322397
286,CGCL,Capri Global Capital Limited,1322295
287,KEI,KEI Industries Limited,1321049
288,ABSLAMC,Aditya Birla Sun Life AMC Limited,1310400
289,MAHINDCIE,Mahindra CIE Automotive Limited,1305231
290,NUVOCO,Nuvoco Vistas Corporation Limited,1303799
291,KALYANKJIL,Kalyan Jewellers India Limited,1303532
292,IDFC,IDFC Limited,1300166
293,LAXMIMACH,Lakshmi Machine Works Limited,1296120
294,HAPPSTMNDS,Happiest Minds Technologies Limited,1294162
295,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,1291077
296,ASAHIINDIA,Asahi India Glass Limited,1271360
297,KEC,KEC International Limited,1271173
298,SFL,Sheela Foam Limited,1266938
299,SUVENPHAR,Suven Pharmaceuticals Limited,1259842
300,CAMPUS,Campus Activewear Limited,1259282
301,IEX,Indian Energy Exchange Limited,1258137
302,MEDANTA,Global Health Limited,1257251
303,JSL,Jindal Stainless Limited,1256722
304,KIMS,Krishna Institute of Medical Sciences Limited,1238270
305,RENUKA,Shree Renuka Sugars Limited,1237717
306,BASF,BASF India Limited,1220525
307,AEGISCHEM,Aegis Logistics Limited,1220252
308,CASTROLIND,Castrol India Limited,1218104
309,GLENMARK,Glenmark Pharmaceuticals Limited,1196816
310,NLCINDIA,NLC India Limited,1193894
311,CDSL,Central Depository Services (India) Limited,1165489
312,FINPIPE,Finolex Industries Limited,1162153
313,BLUESTARCO,Blue Star Limited,1155333
314,ASTERDM,Aster DM Healthcare Limited,1154375
315,CENTURYPLY,Century Plyboards (India) Limited,1143080
316,VGUARD,V-Guard Industries Limited,1128653
317,APLLTD,Alembic Pharmaceuticals Limited,1126110
318,TTKPRESTIG,TTK Prestige Limited,1111754
319,EIHOTEL,EIH Limited,1108771
320,GRINFRA,G R Infraprojects Limited,1102158
321,ANGELONE,Angel One Limited,1093238
322,UTIAMC,UTI Asset Management Company Limited,1093049
323,CAMS,Computer Age Management Services Limited,1088466
324,BIKAJI,Bikaji Foods International Limited,1088362
325,RBLBANK,RBL Bank Limited,1075555
326,BRIGADE,Brigade Enterprises Limited,1072697
327,TATAINVEST,Tata Investment Corporation Limited,1067763
328,SUZLON,Suzlon Energy Limited,1067747
329,HINDCOPPER,Hindustan Copper Limited,1059858
330,PVR,PVR Limited,1052424
331,AETHER,Aether Industries Limited,1044832
332,HUDCO,Housing & Urban Development Corporation Limited,1042990
333,JSLHISAR,Jindal Stainless (Hisar) Limited,1034574
334,CHOLAHLDNG,Cholamandalam Financial Holdings Limited,1033716
335,GODFRYPHLP,Godfrey Phillips India Limited,1028804
336,NATCOPHARM,Natco Pharma Limited,1025332
337,HFCL,HFCL Limited,1015408
338,MOTILALOFS,Motilal Oswal Financial Services Limited,1014941
339,CESC,CESC Limited,1012736
340,SUNCLAYLTD,Sundaram Clayton Limited,1012373
341,AKZOINDIA,Akzo Nobel India Limited,1010790
342,EIDPARRY,EID Parry India Limited,1009129
343,ALLCARGO,Allcargo Logistics Limited,991259
344,ITI,ITI Limited,983762
345,MRPL,Mangalore Refinery and Petrochemicals Limited,983208
346,MANAPPURAM,Manappuram Finance Limited,983087
347,RAYMOND,Raymond Limited,979100
348,AMARAJABAT,Amara Raja Batteries Limited,976620
349,TANLA,Tanla Platforms Limited,969878
350,JKLAKSHMI,JK Lakshmi Cement Limited,960600
351,ZYDUSWELL,Zydus Wellness Limited,958809
352,GESHIP,The Great Eastern Shipping Company Limited,957825
353,VTL,Vardhman Textiles Limited,954489
354,VIPIND,VIP Industries Limited,946170
355,KRBL,KRBL Limited,920728
356,EASEMYTRIP,Easy Trip Planners Limited,916095
357,KARURVYSYA,Karur Vysya Bank Limited,906902
358,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,903169
359,GODREJAGRO,Godrej Agrovet Limited,902579
360,PNBHOUSING,PNB Housing Finance Limited,900531
361,CYIENT,Cyient Limited,896362
362,TEJASNET,Tejas Networks Limited,883224
363,ERIS,Eris Lifesciences Limited,880200
364,BALAMINES,Balaji Amines Limited,877678
365,GALAXYSURF,Galaxy Surfactants Limited,871602
366,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,865683
367,POLYMED,Poly Medicure Limited,861201
368,JINDWORLD,Jindal Worldwide Limited,857425
369,SAPPHIRE,Sapphire Foods India Limited,849754
370,JUBLINGREA,Jubilant Ingrevia Limited,841880
371,TRITURBINE,Triveni Turbine Limited,841403
372,FINCABLES,Finolex Cables Limited,836578
373,KALPATPOWR,Kalpataru Power Transmission Limited,832254
374,MGL,Mahanagar Gas Limited,828005
375,ASTRAZEN,AstraZeneca Pharma India Limited,824288
376,BSOFT,BIRLASOFT LIMITED,816426
377,RITES,RITES Limited,815224
378,BALRAMCHIN,Balrampur Chini Mills Limited,809529
379,SWANENERGY,Swan Energy Limited,807454
380,CENTURYTEX,Century Textiles & Industries Limited,800355
381,SHYAMMETL,Shyam Metalics and Energy Limited,799933
382,SONATSOFTW,Sonata Software Limited,790377
383,LXCHEM,Laxmi Organic Industries Limited,787279
384,SHOPERSTOP,Shoppers Stop Limited,777779
385,ALOKINDS,Alok Industries Limited,772095
386,GRANULES,Granules India Limited,771632
387,WELSPUNIND,Welspun India Limited,761793
388,TMB,Tamilnad Mercantile Bank Limited,757870
389,ROUTE,ROUTE MOBILE LIMITED,757459
390,BIRLACORPN,Birla Corporation Limited,754883
391,LATENTVIEW,Latent View Analytics Limited,754033
392,JYOTHYLAB,Jyothy Labs Limited,752227
393,RAINBOW,Rainbow Childrens Medicare Limited,750300
394,SPLPETRO,Supreme Petrochem Limited,743892
395,SAREGAMA,Saregama India Limited,743088
396,RCF,Rashtriya Chemicals and Fertilizers Limited,742296
397,PNCINFRA,PNC Infratech Limited,739731
398,BSE,BSE Limited,738137
399,CRAFTSMAN,Craftsman Automation Limited,738128
400,MEDPLUS,Medplus Health Services Limited,732060
401,EQUITASBNK,Equitas Small Finance Bank Limited,731703
402,IBULHSGFIN,Indiabulls Housing Finance Limited,729560
403,GRAPHITE,Graphite India Limited,729435
404,ANURAS,Anupam Rasayan India Limited,728417
405,CHEMPLASTS,Chemplast Sanmar Limited,726751
406,KNRCON,KNR Constructions Limited,716726
407,FSL,Firstsource Solutions Limited,713022
408,CHALET,Chalet Hotels Limited,712564
409,CANFINHOME,Can Fin Homes Limited,712441
410,GMMPFAUDLR,GMM Pfaudler Limited,704502
411,CCL,CCL Products (India) Limited,704449
412,COCHINSHIP,Cochin Shipyard Limited,702755
413,STLTECH,Sterlite Technologies Limited,699977
414,NBCC,NBCC (India) Limited,698400
415,HGS,Hinduja Global Solutions Limited,698149
416,JKPAPER,JK Paper Limited,693025
417,NETWORK18,Network18 Media & Investments Limited,692033
418,TCIEXP,TCI Express Limited,689608
419,APARINDS,Apar Industries Limited,686195
420,JMFINANCIL,JM Financial Limited,682673
421,TRIVENI,Triveni Engineering & Industries Limited,681508
422,METROPOLIS,Metropolis Healthcare Limited,679764
423,BLS,BLS International Services Limited,679085
424,LEMONTREE,Lemon Tree Hotels Limited,678559
425,CERA,Cera Sanitaryware Limited,677255
426,INDIACEM,The India Cements Limited,676970
427,KSB,Ksb Limited,673114
428,CEATLTD,CEAT Limited,664393
429,BORORENEW,BOROSIL RENEWABLES LIMITED,663583
430,PRINCEPIPE,Prince Pipes And Fittings Limited,659220
431,PGHL,Procter & Gamble Health Limited,656174
432,PRAJIND,Praj Industries Limited,654294
433,ECLERX,eClerx Services Limited,649138
434,ACI,Archean Chemical Industries Limited,647566
435,GOCOLORS,Go Fashion (India) Limited,646569
436,HOMEFIRST,Home First Finance Company India Limited,642535
437,GARFIBRES,Garware Technical Fibres Limited,642421
438,ESABINDIA,Esab India Limited,637294
439,AMBER,Amber Enterprises India Limited,637250
440,TV18BRDCST,TV18 Broadcast Limited,635170
441,SCI,Shipping Corporation Of India Limited,633254
442,SYMPHONY,Symphony Limited,633041
443,BBTC,Bombay Burmah Trading Corporation Limited,632901
444,WELCORP,Welspun Corp Limited,619694
445,INDIGOPNTS,Indigo Paints Limited,619634
446,BEML,BEML Limited,611466
447,INOXLEISUR,INOX Leisure Limited,611206
448,QUESS,Quess Corp Limited,610343
449,JBMA,JBM Auto Limited,610155
450,INGERRAND,Ingersoll Rand (India) Limited,606390
451,INTELLECT,Intellect Design Arena Limited,604806
452,EDELWEISS,Edelweiss Financial Services Limited,604056
453,JUBLPHARMA,Jubilant Pharmova Limited,596906
454,BCG,Brightcom Group Limited,593269
455,GAEL,Gujarat Ambuja Exports Limited,586525
456,RTNINDIA,RattanIndia Enterprises Limited,584700
457,KFINTECH,Kfin Technologies Limited,577275
458,SPARC,Sun Pharma Advanced Research Company Limited,574291
459,RAIN,Rain Industries Limited,574142
460,SIS,SIS LIMITED,572413
461,DELTACORP,Delta Corp Limited,569210
462,DATAPATTNS,Data Patterns (India) Limited,568444
463,MMTC,MMTC Limited,567000
464,UJJIVANSFB,Ujjivan Small Finance Bank Limited,566806
465,GUJALKALI,Gujarat Alkalies and Chemicals Limited,563398
466,RUSTOMJEE,Keystone Realtors Limited,563238
467,MAHLIFE,Mahindra Lifespace Developers Limited,562538
468,VMART,V-Mart Retail Limited,562099
469,IRCON,Ircon International Limited,561958
470,RELIGARE,Religare Enterprises Limited,561566
471,ORIENTELEC,Orient Electric Limited,560727
472,MAPMYINDIA,C.E. Info Systems Limited,558309
473,GSFC,Gujarat State Fertilizers & Chemicals Limited,556872
474,GRSE,Garden Reach Shipbuilders & Engineers Limited,555234
475,RBA,Restaurant Brands Asia Limited,551789
476,SOBHA,Sobha Limited,546407
477,J&KBANK,The Jammu & Kashmir Bank Limited,545159
478,EPL,EPL Limited,543123
479,MHRIL,Mahindra Holidays & Resorts India Limited,542208
480,CAPLIPOINT,Caplin Point Laboratories Limited,540685
481,NCC,NCC Limited,526763
482,MAHSCOOTER,Maharashtra Scooters Limited,526526
483,GPIL,Godawari Power And Ispat limited,525795
484,PRSMJOHNSN,Prism Johnson Limited,525253
485,AVANTIFEED,Avanti Feeds Limited,525023
486,USHAMART,Usha Martin Limited,524765
487,MFL,Meghmani Finechem Limited,518671
488,JPPOWER,Jaiprakash Power Ventures Limited,517436
489,GLS,Glenmark Life Sciences Limited,514798
490,MASTEK,Mastek Limited,514168
491,VAIBHAVGBL,Vaibhav Global Limited,512699
492,VSTIND,VST Industries Limited,510749
493,SWSOLAR,Sterling and Wilson Renewable Energy Limited,506955
494,JUSTDIAL,Just Dial Limited,506594
495,HIKAL,Hikal Limited,505656
496,POLYPLEX,Polyplex Corporation Limited,500113
497,MTARTECH,Mtar Technologies Limited,497536
498,SYRMA,Syrma SGS Technology Limited,496481
499,LUXIND,Lux Industries Limited,493972
500,ROLEXRINGS,Rolex Rings Limited,491371
501,PCBL,PCBL LIMITED,489380
502,MINDACORP,Minda Corporation Limited,489037
503,RPOWER,Reliance Power Limited,487918
504,GHCL,GHCL Limited,487870
505,GPPL,Gujarat Pipavav Port Limited,486582
506,JSWHL,JSW Holdings Limited,483533
507,SUNTECK,Sunteck Realty Limited,483038
508,ZENSARTECH,Zensar Technologies Limited,482166
509,CMSINFO,CMS Info Systems Limited,481821
510,TCI,Transport Corporation of India Limited,479858
511,PARADEEP,Paradeep Phosphates Limited,479739
512,VRLLOG,VRL Logistics Limited,478380
513,TATVA,Tatva Chintan Pharma Chem Limited,476693
514,KTKBANK,The Karnataka Bank Limited,474206
515,RALLIS,Rallis India Limited,471295
516,KIRLOSENG,Kirloskar Oil Engines Limited,466692
517,GMDCLTD,Gujarat Mineral Development Corporation Limited,466347
518,SHARDACROP,Sharda Cropchem Limited,464590
519,STARCEMENT,Star Cement Limited,463776
520,ARVINDFASN,Arvind Fashions Limited,459308
521,SUPRAJIT,Suprajit Engineering Limited,456692
522,PDSL,PDS Limited,453555
523,VARROC,Varroc Engineering Limited,453546
524,JKTYRE,JK Tyre & Industries Limited,453434
525,RAJRATAN,Rajratan Global Wire Limited,453131
526,FDC,FDC Limited,449367
527,PRIVISCL,Privi Speciality Chemicals Limited,446623
528,VIJAYA,Vijaya Diagnostic Centre Limited,446196
529,INFIBEAM,Infibeam Avenues Limited,444331
530,ENGINERSIN,Engineers India Limited,443170
531,MASFIN,MAS Financial Services Limited,443145
532,ICRA,ICRA Limited,442596
533,IBREALEST,Indiabulls Real Estate Limited,439299
534,KAYNES,Kaynes Technology India Limited,436621
535,MAHSEAMLES,Maharashtra Seamless Limited,434493
536,TEAMLEASE,Teamlease Services Limited,431292
537,NESCO,Nesco Limited,429982
538,EQUITAS,Equitas Holdings Limited,428434
539,AARTIDRUGS,Aarti Drugs Limited,426053
540,HEIDELBERG,HeidelbergCement India Limited,424900
541,LAOPALA,La Opala RG Limited,423965
542,HSCL,Himadri Speciality Chemical Limited,422762
543,RKFORGE,Ramkrishna Forgings Limited,420350
544,NIITLTD,NIIT Limited,419939
545,JAMNAAUTO,Jamna Auto Industries Limited,417557
546,SPANDANA,Spandana Sphoorty Financial Limited,417453
547,BOROLTD,Borosil Limited,417198
548,GREENPANEL,Greenpanel Industries Limited,413684
549,BHARATRAS,Bharat Rasayan Limited,412761
550,CSBBANK,CSB Bank Limited,412549
551,PRUDENT,Prudent Corporate Advisory Services Limited,410527
552,GREENLAM,Greenlam Industries Limited,409170
